date,humidity,soilHumidity,temperature
2024-11-03 02:04:19.710101,39.4,1,31.7
2024-11-03 02:04:46.849232,38.5,1,28.1
2024-11-03 02:07:39.197511,39.8,1,27.1
2024-11-03 02:07:49.479091,45.1,1,24.2
2024-11-03 02:07:59.757228,45.2,1,24.2
2024-11-03 02:08:10.034766,45.4,1,24.1
2024-11-03 02:08:34.184958,45.5,1,24.0
2024-11-03 02:10:31.630516,45.8,1,23.9
2024-11-03 02:11:21.741576,47.1,1,23.4
2024-11-03 02:16:22.014975,47.1,1,23.5
2024-11-03 02:21:22.024883,46.8,1,23.5
2024-11-03 02:26:22.034979,46.7,1,23.5
2024-11-03 02:31:22.401654,46.7,1,23.4
2024-11-03 02:36:22.766982,47.2,1,23.2
2024-11-03 02:41:23.132835,47.0,1,23.3
2024-11-03 02:46:23.498564,46.9,1,23.3
2024-11-03 02:51:23.766295,47.0,1,23.2
2024-11-03 02:56:24.037709,47.0,1,23.2
2024-11-03 03:03:36.243604,46.8,1,23.2
2024-11-03 03:08:36.517039,46.8,1,23.1
