date,humidity,soilHumidity,temperature
2024-06-04 15:52:15.714991,59.7,1,19.1
2024-06-04 15:57:17.661237,61.9,1,18.4
2024-06-04 16:02:19.786715,66.6,1,17.1
2024-06-04 16:07:20.569743,68.1,1,16.8
2024-06-04 16:08:05.214920,68.8,1,16.8
2024-06-04 16:13:05.623002,69.0,1,16.8
2024-06-04 16:23:44.571094,72.9,1,17.1
2024-06-04 16:28:44.970263,63.0,1,20.2
2024-06-04 16:33:44.980199,60.5,1,21.4
2024-06-04 16:38:44.989390,60.4,1,21.6
2024-06-04 16:43:44.998745,60.5,1,21.7
2024-06-04 16:48:45.009093,60.5,1,21.8
2024-06-04 16:53:45.280094,60.3,1,21.9
2024-06-04 17:19:05.341160,62.1,1,19.5
2024-06-04 17:24:05.389431,63.3,1,19.1
2024-06-04 17:29:05.756460,63.2,1,19.1
2024-06-04 17:34:06.122488,64.2,1,18.9
2024-06-04 17:39:06.455407,64.8,1,18.8
2024-06-04 17:44:06.811430,64.1,1,18.8
2024-06-04 17:49:07.095310,65.2,1,18.8
2024-06-04 17:54:07.461015,65.2,1,18.9
2024-06-04 17:59:07.795400,65.6,1,18.9
2024-06-04 18:04:08.123280,65.0,1,19.0
2024-06-04 18:09:08.454113,65.0,1,18.9
2024-06-04 18:14:08.728857,65.6,1,19.0
2024-06-04 18:19:09.094826,65.1,1,19.1
2024-06-04 18:24:09.367360,65.0,1,19.2
2024-06-04 18:29:09.732493,64.5,1,19.1
2024-06-04 18:34:10.091307,64.8,1,19.2
2024-06-04 18:39:10.419282,64.8,1,19.4
2024-06-04 18:44:10.747296,62.2,1,20.7
2024-06-04 18:49:11.075198,60.4,1,21.6
2024-06-04 18:54:11.355350,59.2,1,22.0
2024-06-04 18:59:11.639375,58.8,1,22.2
2024-06-04 19:04:12.004493,58.2,1,22.6
2024-06-04 19:09:12.369570,57.5,1,22.9
2024-06-04 19:14:12.695340,56.5,1,23.3
2024-06-04 19:19:13.043272,56.0,1,23.5
2024-06-04 19:24:13.335344,55.4,1,23.8
2024-06-04 19:29:13.699283,55.2,1,23.7
2024-06-04 19:34:14.027236,55.8,1,23.3
2024-06-04 19:39:14.355398,56.2,1,23.1
2024-06-04 19:44:14.685988,56.4,1,22.9
2024-06-04 19:49:14.698296,57.1,1,22.5
2024-06-04 19:54:15.002089,57.1,1,22.5
2024-06-04 19:59:15.344551,57.7,1,22.4
2024-06-04 20:04:15.688757,58.0,1,22.2
2024-06-04 20:09:16.031711,58.6,1,22.2
2024-06-04 20:14:16.040891,59.2,1,22.1
2024-06-04 20:19:16.367872,59.3,1,22.2
2024-06-04 20:24:16.676719,57.4,1,23.1
2024-06-04 20:29:17.011852,57.4,1,23.1
2024-06-04 20:34:17.348057,57.2,1,23.3
2024-06-04 20:39:17.691067,57.1,1,23.4
2024-06-04 20:44:18.032851,57.3,1,23.4
2024-06-04 20:49:18.374513,56.3,1,23.7
2024-06-04 20:54:18.716674,55.9,1,23.9
2024-06-04 20:59:19.059118,55.9,1,23.9
2024-06-04 21:04:19.400982,56.5,1,24.0
2024-06-04 21:09:19.742923,56.3,1,24.0
2024-06-04 21:14:20.087286,56.1,1,23.9
2024-06-04 21:19:20.452491,56.0,1,23.8
2024-06-04 21:24:20.795408,55.9,1,23.7
2024-06-04 21:29:21.160544,56.1,1,23.6
2024-06-04 21:53:02.654632,64.6,1,20.5
2024-06-04 21:58:03.060422,66.8,1,20.8
2024-06-04 22:03:03.427030,61.0,1,22.8
2024-06-04 22:08:03.793089,60.3,1,23.4
2024-06-04 22:13:04.159138,60.4,1,23.7
2024-06-04 22:18:04.525119,61.4,1,23.7
2024-06-04 22:23:04.891100,62.3,1,23.7
