date,humidity,soilHumidity,temperature
2024-06-05 16:39:47.290995,81.7,1,17.0
2024-06-05 16:44:47.683343,81.8,1,17.2
2024-06-05 16:49:48.050021,82.7,1,17.1
2024-06-05 16:54:48.416221,82.9,1,17.1
2024-06-05 16:59:48.782383,75.4,1,17.1
2024-06-05 17:04:49.089098,70.6,1,17.2
2024-06-05 17:09:49.454935,70.7,1,17.1
2024-06-05 17:14:49.821340,70.7,1,17.1
2024-06-05 17:19:50.187468,70.8,1,17.2
2024-06-05 17:24:50.552885,70.9,1,17.2
2024-06-05 17:29:50.918188,71.1,1,17.2
2024-06-05 17:34:51.283553,71.1,1,17.3
2024-06-05 17:39:51.648748,71.4,1,17.3
